@id,@lon,@lat,name,opening_hours,website,addr:street
885690704,2.1959762,48.8901270,Du Pareil au Même,Mo-Sa 10:00-19:00,http://www.dpam.com/,
885690707,2.1958611,48.8901216,Sergent Major,Mo 15:00-19:00; Tu-Sa 10:00-19:00; Su 09:30-13:00,,
892853462,2.2434480,48.8339588,Mary Kimberley,Mo 14:00-19:00; Tu-Sa 10:00-19:00,,
912271897,2.3498203,48.8829360,Au Rendez-vous du Mariage,,,
913577799,2.3772286,48.8305832,Camaïeu,Mo-Sa 10:00-20:00,,
914052530,2.3111868,48.8599984,J. Donegan,Tu-Su 11:00-14:00  15:00-19:00,https://www.donegan.fr/,Rue Saint-Dominique
915959129,2.1918691,48.8911725,Sultana,,,
916527542,2.3484032,48.8837914,Tati,Mo-Fr 10:00-20:00  Sa 09:30-20:00,,
916720793,2.3623932,48.8785722,Bragard,Mo-Fr 09:30-12:00 13:30-17:30; Sa 09:30-12:00 13:30-16:45,http://www.bragard.fr,
917299936,2.3656339,48.8813014,Mademoiselle Claverie,,,
922525946,2.2428499,48.8350181,Darjeeling,,,
922525949,2.2430130,48.8342649,Etam,,,
922525968,2.2428995,48.8349302,Naf Naf,,,
922525998,2.2430877,48.8345970,Promod,,,
922526001,2.2430540,48.8346568,Kookaï,,,
922526012,2.2428136,48.8350827,Caroll,,,
931681725,2.2423582,48.8358859,Father & Sons,,,
931681727,2.2421667,48.8362248,Devernois,,,
931681734,2.2420016,48.8360515,Biscote,Mo-Sa 10:30-19:30,,
931681737,2.2419152,48.8362036,Courbettes et Galipettes,Tu-Sa 11:00-19:30; Mo 11:30-19:30,,
931681744,2.2422110,48.8361463,The Kooples,,,
931681745,2.2422476,48.8360817,Celio,,,
931681746,2.2422117,48.8356844,La Reserve,,,
931681747,2.2422975,48.8359935,Lynn Adler,,,
937614721,2.2416519,48.8366675,Kujten,,,
937614723,2.2419422,48.8366220,Gérard Darel,Mo-Fr 10:00-19:00; Sa 10:00-19:30,,
937614727,2.2418670,48.8362893,Berenice,,,
937614728,2.2420455,48.8364393,American Vintage,Mo-Sa 10:30-19:30,,
938397774,2.2409105,48.8377538,Gap,,,
938397779,2.2405759,48.8381538,Gap Kids,Mo-Sa 10:00-20:00,,
939134588,2.2408109,48.8386074,Comptoir des Cotonniers,,,
939134607,2.2405616,48.8390495,Aubade,Mo-Sa 10:30-14:00  15:00-19:30,,
939134623,2.2404786,48.8391948,Sud Express,Mo-Fr 10:00-19:00; Sa 10:00-19:30,,
939134624,2.2405417,48.8386250,Eric Bompard,Mo-Sa 10:30-19:00,,
939134626,2.2406055,48.8389718,Maje,Mo-Sa 10:30-19:30,,
939134646,2.2404040,48.8388691,Claudie Pierlot,,,Boulevard Jean Jaurès
939134647,2.2403904,48.8393470,Zadig & Voltaire,,,
939134667,2.2405764,48.8385633,Suncoo,,,
939134686,2.2404849,48.8387257,Ilva,Mo-Fr 10:45-19:30; Sa 10:30-19:30,,
939134687,2.2403206,48.8390166,Spontini,Mo-Sa 10:30-19:30,,
939134707,2.2406811,48.8388380,Karl Marc John,Mo 11:00-19:00; Tu-Sa 10:30-19:30,,
939134718,2.2409194,48.8384147,Lola Jones,Mo-Sa 10:30-19:30,,
939134719,2.2408793,48.8384857,Le Slip Français,Mo 13:00-19:00; Tu-Sa 11:00-19:00,,
939134721,2.2402800,48.8390883,Sandro,,,
940119646,2.2418113,48.8368713,De Fursac,,,
940712735,2.3811912,48.8500725,Salsa Studio,,,
942676913,2.2808701,48.8674368,Teenflo,,,
957292026,2.2774250,48.8593999,Bonton,,,
986085890,2.2448294,48.8304433,Diversita,,,
986085918,2.2451073,48.8310314,Mega Degriffes,,,
986085932,2.2450045,48.8312105,Mega-Lots,,,
987112146,2.2718473,48.8814985,Sym,,,
987112166,2.2746172,48.8806195,Dormeuil,,,
987112175,2.2737661,48.8808901,Gérard Darel,,,
987112218,2.2747570,48.8805749,Des Petits Hauts,,,
987112268,2.2724618,48.8813035,Cyrillus,Mo-Sa 10:00-19:00,,
987112283,2.2715132,48.8816168,Promod,,,
987112298,2.2735105,48.8809711,Étincelle,,,
988277658,2.2654018,48.8828446,Décision,,,
989431394,2.2659776,48.8949456,Bineau Retouches,,,
990033876,2.2437079,48.8432650,Retoucherie Fil d'Or,,,
